Date,Time,Currency,Event,Impact,Actual,Forecast,Previous
2024-01-23,03:09,JPY,BOJ Outlook Report,HIGH,,,
2024-01-23,03:09,JPY,Monetary Policy Statement,HIGH,,,
2024-01-23,03:09,JPY,BOJ Policy Rate,MEDIUM,,,
2024-01-23,06:30,JPY,BOJ Press Conference,HIGH,,,
2024-01-23,14:59,USD,Richmond Manufacturing Index,MEDIUM,,,
2024-01-23,21:45,NZD,CPI q/q,HIGH,,,
2024-01-24,08:15,EUR,French Flash Manufacturing PMI,HIGH,,,
2024-01-24,08:15,EUR,French Flash Services PMI,HIGH,,,
2024-01-24,08:30,EUR,German Flash Manufacturing PMI,HIGH,,,
2024-01-24,08:30,EUR,German Flash Services PMI,HIGH,,,
2024-01-24,09:00,EUR,Flash Manufacturing PMI,MEDIUM,,,
2024-01-24,09:00,EUR,Flash Services PMI,MEDIUM,,,
2024-01-24,09:30,GBP,Flash Manufacturing PMI,HIGH,,,
2024-01-24,09:30,GBP,Flash Services PMI,HIGH,,,
2024-01-24,14:45,CAD,BOC Monetary Policy Report,HIGH,,,
2024-01-24,14:45,CAD,BOC Rate Statement,HIGH,,,
2024-01-24,14:45,CAD,Overnight Rate,HIGH,,,
2024-01-24,14:45,USD,Flash Manufacturing PMI,HIGH,,,
2024-01-24,14:45,USD,Flash Services PMI,HIGH,,,
2024-01-24,15:30,CAD,BOC Press Conference,HIGH,,,
2024-01-25,09:00,EUR,German ifo Business Climate,MEDIUM,,,
2024-01-25,13:15,EUR,Main Refinancing Rate,HIGH,,,
2024-01-25,13:15,EUR,Monetary Policy Statement,HIGH,,,
2024-01-25,13:30,USD,Advance GDP q/q,HIGH,,,
2024-01-25,13:30,USD,Unemployment Claims,HIGH,,,
2024-01-25,13:30,USD,Advance GDP Price Index q/q,MEDIUM,,,
2024-01-25,13:30,USD,Core Durable Goods Orders m/m,MEDIUM,,,
2024-01-25,13:30,USD,Durable Goods Orders m/m,MEDIUM,,,
2024-01-25,13:45,EUR,ECB Press Conference,HIGH,,,
2024-01-25,15:00,USD,New Home Sales,MEDIUM,,,
2024-01-25,23:30,JPY,Tokyo Core CPI y/y,MEDIUM,,,
2024-01-26,13:30,USD,Core PCE Price Index m/m,HIGH,,,
2024-01-26,15:00,USD,Pending Home Sales m/m,MEDIUM,,,
2024-01-30,00:30,AUD,Retail Sales m/m,MEDIUM,,,
2024-01-30,08:00,EUR,Spanish Flash CPI y/y,MEDIUM,,,
2024-01-30,14:00,USD,S&P/CS Composite-20 HPI y/y,MEDIUM,,,
2024-01-30,15:00,USD,CB Consumer Confidence,HIGH,,,
2024-01-30,15:00,USD,JOLTS Job Openings,HIGH,,,
2024-01-31,00:30,AUD,CPI q/q,HIGH,,,
2024-01-31,00:30,AUD,CPI y/y,HIGH,,,
2024-01-31,00:30,AUD,Trimmed Mean CPI q/q,HIGH,,,
2024-01-31,01:30,CNY,Manufacturing PMI,HIGH,,,
2024-01-31,01:30,CNY,Non-Manufacturing PMI,MEDIUM,,,
2024-01-31,07:29,EUR,German Prelim CPI m/m,HIGH,,,
2024-01-31,13:15,USD,ADP Non-Farm Employment Change,HIGH,,,
2024-01-31,13:30,CAD,GDP m/m,HIGH,,,
2024-01-31,13:30,USD,Employment Cost Index q/q,HIGH,,,
2024-01-31,14:45,USD,Chicago PMI,MEDIUM,,,
2024-01-31,19:00,USD,Federal Funds Rate,HIGH,,,
2024-01-31,19:00,USD,FOMC Statement,HIGH,,,
2024-01-31,19:30,USD,FOMC Press Conference,HIGH,,,
2024-02-01,01:45,CNY,Caixin Manufacturing PMI,MEDIUM,,,
2024-02-01,08:00,EUR,ECB President Lagarde Speaks,MEDIUM,,,
2024-02-01,10:00,EUR,Core CPI Flash Estimate y/y,MEDIUM,,,
2024-02-01,10:00,EUR,CPI Flash Estimate y/y,MEDIUM,,,
2024-02-01,10:15,All,OPEC-JMMC Meetings,MEDIUM,,,
2024-02-01,12:00,GBP,BOE Monetary Policy Report,HIGH,,,
2024-02-01,12:00,GBP,Monetary Policy Summary,HIGH,,,
2024-02-01,12:00,GBP,MPC Official Bank Rate Votes,HIGH,,,
2024-02-01,12:00,GBP,Official Bank Rate,HIGH,,,
2024-02-01,12:30,GBP,BOE Gov Bailey Speaks,HIGH,,,
2024-02-01,13:30,USD,Unemployment Claims,HIGH,,,
2024-02-01,15:00,USD,ISM Manufacturing PMI,HIGH,,,
2024-02-01,15:00,USD,ISM Manufacturing Prices,MEDIUM,,,
2024-02-01,16:30,CAD,BOC Gov Macklem Speaks,HIGH,,,
2024-02-02,13:30,USD,Average Hourly Earnings m/m,HIGH,,,
2024-02-02,13:30,USD,Non-Farm Employment Change,HIGH,,,
2024-02-02,13:30,USD,Unemployment Rate,HIGH,,,
2024-02-02,15:00,USD,Revised UoM Consumer Sentiment,HIGH,,,
2024-02-05,00:00,USD,Fed Chair Powell Speaks,HIGH,,,
2024-02-05,01:45,CNY,Caixin Services PMI,MEDIUM,,,
2024-02-05,15:00,USD,ISM Services PMI,HIGH,,,
2024-02-06,03:30,AUD,Cash Rate,HIGH,,,
2024-02-06,03:30,AUD,RBA Rate Statement,HIGH,,,
2024-02-06,03:30,AUD,RBA Monetary Policy Statement,MEDIUM,,,
2024-02-06,04:30,AUD,RBA Press Conference,HIGH,,,
2024-02-06,09:30,GBP,Construction PMI,MEDIUM,,,
2024-02-06,15:00,CAD,Ivey PMI,MEDIUM,,,
2024-02-06,17:00,USD,FOMC Member Mester Speaks,MEDIUM,,,
2024-02-06,17:45,CAD,BOC Gov Macklem Speaks,HIGH,,,
2024-02-06,21:45,NZD,Employment Change q/q,HIGH,,,
2024-02-06,21:45,NZD,Unemployment Rate,HIGH,,,
2024-02-07,08:00,CHF,Foreign Currency Reserves,MEDIUM,,,
2024-02-07,16:00,USD,FOMC Member Kugler Speaks,MEDIUM,,,
2024-02-07,17:30,USD,FOMC Member Barkin Speaks,MEDIUM,,,
2024-02-07,18:01,USD,10-y Bond Auction,MEDIUM,,,
2024-02-08,01:30,CNY,CPI y/y,MEDIUM,,,
2024-02-08,01:30,CNY,PPI y/y,MEDIUM,,,
2024-02-08,13:30,USD,Unemployment Claims,HIGH,,,
2024-02-08,13:30,USD,FOMC Member Barkin Speaks,MEDIUM,,,
2024-02-08,17:05,USD,FOMC Member Barkin Speaks,MEDIUM,,,
2024-02-08,18:01,USD,30-y Bond Auction,MEDIUM,,,
2024-02-08,22:30,AUD,RBA Gov Bullock Speaks,HIGH,,,
2024-02-09,07:00,CNY,New Loans,MEDIUM,,,
2024-02-09,13:30,CAD,Employment Change,HIGH,,,
2024-02-09,13:30,CAD,Unemployment Rate,HIGH,,,
2024-02-12,00:30,NZD,RBNZ Gov Orr Speaks,MEDIUM,,,
2024-02-12,17:00,USD,FOMC Member Barkin Speaks,MEDIUM,,,
2024-02-12,18:00,GBP,BOE Gov Bailey Speaks,HIGH,,,
2024-02-13,02:20,NZD,Inflation Expectations q/q,HIGH,,,
2024-02-13,07:00,GBP,Claimant Count Change,HIGH,,,
2024-02-13,07:00,GBP,Average Earnings Index 3m/y,MEDIUM,,,
2024-02-13,07:30,CHF,CPI m/m,HIGH,,,
2024-02-13,13:30,USD,Core CPI m/m,HIGH,,,
2024-02-13,13:30,USD,CPI m/m,HIGH,,,
2024-02-13,13:30,USD,CPI y/y,HIGH,,,
2024-02-14,07:00,GBP,CPI y/y,HIGH,,,
2024-02-14,15:00,GBP,BOE Gov Bailey Speaks,HIGH,,,
2024-02-14,22:00,AUD,RBA Gov Bullock Speaks,HIGH,,,
2024-02-15,00:30,AUD,Employment Change,HIGH,,,
2024-02-15,00:30,AUD,Unemployment Rate,HIGH,,,
2024-02-15,07:00,GBP,GDP m/m,HIGH,,,
2024-02-15,07:00,GBP,Prelim GDP q/q,MEDIUM,,,
2024-02-15,08:00,EUR,ECB President Lagarde Speaks,MEDIUM,,,
2024-02-15,13:30,USD,Core Retail Sales m/m,HIGH,,,
2024-02-15,13:30,USD,Empire State Manufacturing Index,HIGH,,,
2024-02-15,13:30,USD,Retail Sales m/m,HIGH,,,
2024-02-15,13:30,USD,Unemployment Claims,HIGH,,,
2024-02-15,13:30,USD,Philly Fed Manufacturing Index,MEDIUM,,,
2024-02-15,14:15,USD,Industrial Production m/m,MEDIUM,,,
2024-02-15,18:15,USD,FOMC Member Waller Speaks,MEDIUM,,,
2024-02-15,18:40,NZD,RBNZ Gov Orr Speaks,MEDIUM,,,
2024-02-16,07:00,GBP,Retail Sales m/m,HIGH,,,
2024-02-16,13:30,USD,Core PPI m/m,HIGH,,,
2024-02-16,13:30,USD,PPI m/m,HIGH,,,
2024-02-16,13:30,USD,Building Permits,MEDIUM,,,
2024-02-16,15:00,USD,Prelim UoM Consumer Sentiment,HIGH,,,
2024-02-16,15:00,USD,Prelim UoM Inflation Expectations,MEDIUM,,,
2024-02-20,00:30,AUD,Monetary Policy Meeting Minutes,HIGH,,,
2024-02-20,01:15,CNY,1-y Loan Prime Rate,MEDIUM,,,
2024-02-20,01:15,CNY,5-y Loan Prime Rate,MEDIUM,,,
2024-02-20,10:15,GBP,Monetary Policy Report Hearings,MEDIUM,,,
2024-02-20,13:30,CAD,CPI m/m,HIGH,,,
2024-02-20,13:30,CAD,Median CPI y/y,HIGH,,,
2024-02-20,13:30,CAD,Trimmed CPI y/y,HIGH,,,
2024-02-20,13:30,CAD,Common CPI y/y,MEDIUM,,,
2024-02-21,00:30,AUD,Wage Price Index q/q,HIGH,,,
2024-02-21,14:10,USD,FOMC Member Barkin Speaks,MEDIUM,,,
2024-02-21,19:00,USD,FOMC Meeting Minutes,HIGH,,,
2024-02-22,08:15,EUR,French Flash Manufacturing PMI,HIGH,,,
2024-02-22,08:15,EUR,French Flash Services PMI,HIGH,,,
2024-02-22,08:30,EUR,German Flash Manufacturing PMI,HIGH,,,
2024-02-22,08:30,EUR,German Flash Services PMI,HIGH,,,
2024-02-22,09:00,EUR,Flash Manufacturing PMI,MEDIUM,,,
2024-02-22,09:00,EUR,Flash Services PMI,MEDIUM,,,
2024-02-22,09:30,GBP,Flash Manufacturing PMI,HIGH,,,
2024-02-22,09:30,GBP,Flash Services PMI,HIGH,,,
2024-02-22,13:30,CAD,Core Retail Sales m/m,MEDIUM,,,
2024-02-22,13:30,CAD,Retail Sales m/m,MEDIUM,,,
2024-02-22,13:30,USD,Unemployment Claims,HIGH,,,
2024-02-22,14:45,USD,Flash Manufacturing PMI,HIGH,,,
2024-02-22,14:45,USD,Flash Services PMI,HIGH,,,
2024-02-22,15:00,USD,Existing Home Sales,MEDIUM,,,
2024-02-22,21:45,NZD,Retail Sales q/q,MEDIUM,,,
2024-02-23,00:35,USD,FOMC Member Waller Speaks,MEDIUM,,,
2024-02-23,09:00,EUR,German ifo Business Climate,MEDIUM,,,
2024-02-26,15:00,USD,New Home Sales,MEDIUM,,,
2024-02-26,16:00,EUR,ECB President Lagarde Speaks,MEDIUM,,,
2024-02-27,13:30,USD,Durable Goods Orders m/m,HIGH,,,
2024-02-27,13:30,USD,Core Durable Goods Orders m/m,MEDIUM,,,
2024-02-27,14:00,USD,S&P/CS Composite-20 HPI y/y,MEDIUM,,,
2024-02-27,14:59,USD,Richmond Manufacturing Index,MEDIUM,,,
2024-02-27,15:00,USD,CB Consumer Confidence,HIGH,,,
2024-02-28,00:30,AUD,CPI y/y,HIGH,,,
2024-02-28,01:00,NZD,Official Cash Rate,HIGH,,,
2024-02-28,01:00,NZD,RBNZ Monetary Policy Statement,HIGH,,,
2024-02-28,01:00,NZD,RBNZ Rate Statement,HIGH,,,
2024-02-28,02:00,NZD,RBNZ Press Conference,MEDIUM,,,
2024-02-28,13:30,USD,Prelim GDP q/q,HIGH,,,
2024-02-28,13:30,USD,Prelim GDP Price Index q/q,MEDIUM,,,
2024-02-28,16:15,All,G20 Meetings,MEDIUM,,,
2024-02-28,19:10,NZD,RBNZ Gov Orr Speaks,MEDIUM,,,
2024-02-29,00:30,AUD,Retail Sales m/m,MEDIUM,,,
2024-02-29,07:29,EUR,German Prelim CPI m/m,HIGH,,,
2024-02-29,08:00,CHF,GDP q/q,MEDIUM,,,
2024-02-29,08:00,EUR,Spanish Flash CPI y/y,MEDIUM,,,
2024-02-29,13:30,CAD,GDP m/m,HIGH,,,
2024-02-29,13:30,USD,Core PCE Price Index m/m,HIGH,,,
2024-02-29,13:30,USD,Unemployment Claims,HIGH,,,
2024-02-29,14:45,USD,Chicago PMI,MEDIUM,,,
2024-02-29,15:00,USD,Pending Home Sales m/m,MEDIUM,,,
2024-02-29,16:15,All,G20 Meetings,MEDIUM,,,
2024-02-29,18:15,USD,FOMC Member Mester Speaks,MEDIUM,,,
2024-03-01,00:05,NZD,RBNZ Gov Orr Speaks,MEDIUM,,,
2024-03-01,01:30,CNY,Manufacturing PMI,HIGH,,,
2024-03-01,01:30,CNY,Non-Manufacturing PMI,MEDIUM,,,
2024-03-01,01:45,CNY,Caixin Manufacturing PMI,MEDIUM,,,
2024-03-01,10:00,EUR,Core CPI Flash Estimate y/y,MEDIUM,,,
2024-03-01,10:00,EUR,CPI Flash Estimate y/y,MEDIUM,,,
2024-03-01,15:00,USD,ISM Manufacturing PMI,HIGH,,,
2024-03-01,15:00,USD,Revised UoM Consumer Sentiment,HIGH,,,
2024-03-01,15:00,USD,ISM Manufacturing Prices,MEDIUM,,,
2024-03-01,15:15,USD,FOMC Member Waller Speaks,MEDIUM,,,
2024-03-04,07:30,CHF,CPI m/m,HIGH,,,
2024-03-04,23:30,JPY,Tokyo Core CPI y/y,MEDIUM,,,
2024-03-05,01:45,CNY,Caixin Services PMI,MEDIUM,,,
2024-03-05,04:00,JPY,BOJ Gov Ueda Speaks,HIGH,,,
2024-03-05,15:00,USD,ISM Services PMI,HIGH,,,
2024-03-06,00:30,AUD,GDP q/q,HIGH,,,
2024-03-06,09:30,GBP,Construction PMI,MEDIUM,,,
2024-03-06,12:34,GBP,Annual Budget Release,HIGH,,,
2024-03-06,13:15,USD,ADP Non-Farm Employment Change,HIGH,,,
2024-03-06,14:45,CAD,BOC Rate Statement,HIGH,,,
2024-03-06,14:45,CAD,Overnight Rate,HIGH,,,
2024-03-06,15:00,CAD,Ivey PMI,MEDIUM,,,
2024-03-06,15:00,USD,Fed Chair Powell Testifies,HIGH,,,
2024-03-06,15:00,USD,JOLTS Job Openings,HIGH,,,
2024-03-06,15:30,CAD,BOC Press Conference,HIGH,,,
2024-03-07,08:00,CHF,Foreign Currency Reserves,MEDIUM,,,
2024-03-07,13:15,EUR,Main Refinancing Rate,HIGH,,,
2024-03-07,13:15,EUR,Monetary Policy Statement,HIGH,,,
2024-03-07,13:30,USD,Unemployment Claims,HIGH,,,
2024-03-07,13:45,EUR,ECB Press Conference,HIGH,,,
2024-03-07,15:00,USD,Fed Chair Powell Testifies,HIGH,,,
2024-03-07,16:30,USD,FOMC Member Mester Speaks,MEDIUM,,,
2024-03-08,13:30,CAD,Employment Change,HIGH,,,
2024-03-08,13:30,CAD,Unemployment Rate,HIGH,,,
2024-03-08,13:30,USD,Average Hourly Earnings m/m,HIGH,,,
2024-03-08,13:30,USD,Non-Farm Employment Change,HIGH,,,
2024-03-08,13:30,USD,Unemployment Rate,HIGH,,,
2024-03-09,01:30,CNY,CPI y/y,MEDIUM,,,
2024-03-09,01:30,CNY,PPI y/y,MEDIUM,,,
2024-03-10,23:50,JPY,Final GDP q/q,MEDIUM,,,
2024-03-12,07:00,GBP,Claimant Count Change,HIGH,,,
2024-03-12,07:00,GBP,Average Earnings Index 3m/y,MEDIUM,,,
2024-03-12,12:30,USD,Core CPI m/m,HIGH,,,
2024-03-12,12:30,USD,CPI m/m,HIGH,,,
2024-03-12,12:30,USD,CPI y/y,HIGH,,,
2024-03-12,16:15,GBP,BOE Gov Bailey Speaks,MEDIUM,,,
2024-03-12,17:01,USD,10-y Bond Auction,HIGH,,,
2024-03-13,07:00,GBP,GDP m/m,HIGH,,,
2024-03-13,17:01,USD,30-y Bond Auction,HIGH,,,
2024-03-14,12:30,USD,Core PPI m/m,HIGH,,,
2024-03-14,12:30,USD,Core Retail Sales m/m,HIGH,,,
2024-03-14,12:30,USD,PPI m/m,HIGH,,,
2024-03-14,12:30,USD,Retail Sales m/m,HIGH,,,
2024-03-14,12:30,USD,Unemployment Claims,HIGH,,,
2024-03-15,08:34,CNY,New Loans,MEDIUM,,,
2024-03-15,12:30,USD,Empire State Manufacturing Index,HIGH,,,
2024-03-15,13:15,USD,Industrial Production m/m,MEDIUM,,,
2024-03-15,14:00,USD,Prelim UoM Consumer Sentiment,HIGH,,,
2024-03-15,14:00,USD,Prelim UoM Inflation Expectations,MEDIUM,,,
2024-03-18,02:00,CNY,Industrial Production y/y,HIGH,,,
2024-03-18,02:00,CNY,Retail Sales y/y,MEDIUM,,,
2024-03-19,03:30,AUD,Cash Rate,HIGH,,,
2024-03-19,03:30,AUD,RBA Rate Statement,HIGH,,,
2024-03-19,03:36,JPY,BOJ Policy Rate,HIGH,,,
2024-03-19,03:36,JPY,Monetary Policy Statement,HIGH,,,
2024-03-19,04:30,AUD,RBA Press Conference,HIGH,,,
2024-03-19,06:30,JPY,BOJ Press Conference,HIGH,,,
2024-03-19,12:30,CAD,CPI m/m,HIGH,,,
2024-03-19,12:30,CAD,Median CPI y/y,HIGH,,,
2024-03-19,12:30,CAD,Trimmed CPI y/y,HIGH,,,
2024-03-19,12:30,CAD,Common CPI y/y,MEDIUM,,,
2024-03-19,12:30,USD,Building Permits,MEDIUM,,,
2024-03-20,01:15,CNY,1-y Loan Prime Rate,MEDIUM,,,
2024-03-20,01:15,CNY,5-y Loan Prime Rate,MEDIUM,,,
2024-03-20,07:00,GBP,CPI y/y,HIGH,,,
2024-03-20,08:45,EUR,ECB President Lagarde Speaks,MEDIUM,,,
2024-03-20,18:00,USD,Federal Funds Rate,HIGH,,,
2024-03-20,18:00,USD,FOMC Economic Projections,HIGH,,,
2024-03-20,18:00,USD,FOMC Statement,HIGH,,,
2024-03-20,18:30,USD,FOMC Press Conference,HIGH,,,
2024-03-20,21:45,NZD,GDP q/q,HIGH,,,
2024-03-21,00:30,AUD,Employment Change,HIGH,,,
2024-03-21,00:30,AUD,Unemployment Rate,HIGH,,,
2024-03-21,08:15,EUR,French Flash Manufacturing PMI,HIGH,,,
2024-03-21,08:15,EUR,French Flash Services PMI,HIGH,,,
2024-03-21,08:30,CHF,SNB Monetary Policy Assessment,HIGH,,,
2024-03-21,08:30,CHF,SNB Policy Rate,HIGH,,,
2024-03-21,08:30,EUR,German Flash Manufacturing PMI,HIGH,,,
2024-03-21,08:30,EUR,German Flash Services PMI,HIGH,,,
2024-03-21,09:00,CHF,SNB Press Conference,HIGH,,,
2024-03-21,09:00,EUR,Flash Manufacturing PMI,MEDIUM,,,
2024-03-21,09:00,EUR,Flash Services PMI,MEDIUM,,,
2024-03-21,09:30,GBP,Flash Manufacturing PMI,HIGH,,,
2024-03-21,09:30,GBP,Flash Services PMI,HIGH,,,
2024-03-21,12:00,GBP,Monetary Policy Summary,HIGH,,,
2024-03-21,12:00,GBP,MPC Official Bank Rate Votes,HIGH,,,
2024-03-21,12:00,GBP,Official Bank Rate,HIGH,,,
2024-03-21,12:30,USD,Unemployment Claims,HIGH,,,
2024-03-21,12:30,USD,Philly Fed Manufacturing Index,MEDIUM,,,
2024-03-21,13:45,USD,Flash Manufacturing PMI,HIGH,,,
2024-03-21,13:45,USD,Flash Services PMI,HIGH,,,
2024-03-21,14:00,USD,Existing Home Sales,MEDIUM,,,
2024-03-21,23:30,JPY,National Core CPI y/y,MEDIUM,,,
2024-03-22,07:00,GBP,Retail Sales m/m,HIGH,,,
2024-03-22,09:00,EUR,German ifo Business Climate,MEDIUM,,,
2024-03-22,10:15,EUR,Euro Summit,HIGH,,,
2024-03-22,12:30,CAD,Core Retail Sales m/m,MEDIUM,,,
2024-03-22,12:30,CAD,Retail Sales m/m,MEDIUM,,,
2024-03-22,13:00,USD,Fed Chair Powell Speaks,HIGH,,,
2024-03-25,14:00,USD,New Home Sales,MEDIUM,,,
2024-03-26,12:30,USD,Core Durable Goods Orders m/m,MEDIUM,,,
2024-03-26,12:30,USD,Durable Goods Orders m/m,MEDIUM,,,
2024-03-26,13:00,USD,S&P/CS Composite-20 HPI y/y,MEDIUM,,,
2024-03-26,13:59,USD,Richmond Manufacturing Index,MEDIUM,,,
2024-03-26,14:00,USD,CB Consumer Confidence,HIGH,,,
2024-03-27,00:30,AUD,CPI y/y,HIGH,,,
2024-03-27,08:00,EUR,Spanish Flash CPI y/y,MEDIUM,,,
2024-03-27,22:00,USD,FOMC Member Waller Speaks,HIGH,,,
2024-03-28,00:30,AUD,Retail Sales m/m,MEDIUM,,,
2024-03-28,12:30,CAD,GDP m/m,HIGH,,,
2024-03-28,12:30,USD,Final GDP q/q,HIGH,,,
2024-03-28,12:30,USD,Unemployment Claims,HIGH,,,
2024-03-28,12:30,USD,Final GDP Price Index q/q,MEDIUM,,,
2024-03-28,13:45,USD,Chicago PMI,MEDIUM,,,
2024-03-28,14:00,USD,Pending Home Sales m/m,HIGH,,,
2024-03-28,14:00,USD,Revised UoM Consumer Sentiment,HIGH,,,
2024-03-28,23:30,JPY,Tokyo Core CPI y/y,MEDIUM,,,
2024-03-29,12:30,USD,Core PCE Price Index m/m,HIGH,,,
2024-03-29,15:30,USD,Fed Chair Powell Speaks,HIGH,,,
2024-04-01,14:00,USD,ISM Manufacturing PMI,HIGH,,,
2024-04-01,14:00,USD,ISM Manufacturing Prices,MEDIUM,,,
2024-04-01,14:30,CAD,BOC Business Outlook Survey,MEDIUM,,,
2024-04-02,00:30,AUD,Monetary Policy Meeting Minutes,MEDIUM,,,
2024-04-02,06:29,EUR,German Prelim CPI m/m,HIGH,,,
2024-04-02,14:00,USD,JOLTS Job Openings,HIGH,,,
2024-04-02,16:05,USD,FOMC Member Mester Speaks,MEDIUM,,,
2024-04-03,09:00,EUR,Core CPI Flash Estimate y/y,MEDIUM,,,
2024-04-03,09:00,EUR,CPI Flash Estimate y/y,MEDIUM,,,
2024-04-03,09:15,All,OPEC-JMMC Meetings,MEDIUM,,,
2024-04-03,12:15,USD,ADP Non-Farm Employment Change,HIGH,,,
2024-04-03,13:45,USD,Final Services PMI,MEDIUM,,,
2024-04-03,14:00,USD,ISM Services PMI,HIGH,,,
2024-04-03,16:10,USD,Fed Chair Powell Speaks,HIGH,,,
2024-04-04,06:30,CHF,CPI m/m,HIGH,,,
